id_cliente,ltv_12m,ltv_historico,recencia_dias,freq_compras_ano,ticket_medio,num_produtos_distintos,nps_score,tempo_cliente_anos,canal_principal,segmento,porte,qtd_reclamacoes_ano
1080,0.0,200.0,93,1,410.88,1,4,0.6,Digital,A,Medio,5
1081,57586.15,75744.26,32,20,1634.39,10,5,2.7,Digital,B,Micro,0
1082,7474.88,8986.85,111,7,678.63,1,3,2.1,Digital,A,Medio,3
1083,1511.89,778.13,93,5,469.36,2,7,0.2,Digital,A,Medio,2
1084,84455.92,93225.11,24,14,1559.65,6,7,5.0,Telefone,C,Micro,1
1085,79888.33,75435.27,31,14,1011.62,5,7,6.2,Presencial,B,Micro,0
1086,83202.42,120516.13,25,12,1620.99,5,7,7.3,Presencial,B,Grande,0
1087,1043.85,1683.28,91,5,1352.82,1,7,0.2,Digital,A,Micro,5
1088,34516.76,34717.24,93,5,1781.71,2,3,4.5,Digital,A,Medio,1
1089,114955.92,134812.85,37,19,798.73,6,6,10.4,Telefone,B,Micro,2
1090,252415.46,268931.52,27,19,2526.26,7,7,6.6,Telefone,C,Medio,1
1091,132354.95,186393.08,31,12,2700.61,4,6,6.8,Digital,C,Micro,0
1092,153260.69,575089.17,33,19,1782.85,6,7,20.0,Digital,B,Micro,1
1093,144674.77,217025.66,32,20,1572.8,5,6,8.1,Digital,B,Medio,1
1094,82047.69,193396.11,22,16,1623.92,7,7,8.8,Digital,C,Micro,0
1095,206375.85,351831.88,25,17,1612.4,4,6,15.1,Presencial,B,Micro,0
1096,57542.41,50274.2,31,18,4124.81,5,8,0.8,Presencial,B,Micro,0
1097,5696.5,7444.25,80,2,1385.91,2,5,3.6,Presencial,A,Micro,3
1098,127265.42,257782.5,24,19,3710.55,12,4,4.3,Presencial,B,Micro,0
1099,39472.72,42250.96,23,13,1918.49,10,5,2.0,Presencial,B,Micro,0
1100,56253.27,239359.24,29,19,1635.49,9,8,9.1,Telefone,C,Grande,1
1101,98810.68,296291.4,24,17,2852.35,9,6,7.2,Presencial,C,Micro,2
1102,14383.76,18275.56,83,4,918.67,1,2,5.8,Digital,A,Medio,2
1103,751838.54,1174009.27,22,18,3838.45,5,5,20.0,Digital,B,Micro,1
1104,42332.3,53315.14,22,21,2007.77,7,7,1.5,Digital,C,Micro,1
1105,145.98,1202.5,80,4,732.49,2,5,0.2,Digital,A,Grande,5
1106,3320.6,10755.83,86,6,1341.73,2,2,1.6,Digital,A,Micro,2
1107,15736.94,27136.95,93,6,969.17,1,4,5.4,Digital,A,Grande,3
1108,19463.55,15465.85,19,19,1040.17,4,7,0.9,Presencial,B,Micro,0
1109,26981.22,46912.21,79,5,1634.84,1,5,6.7,Presencial,A,Medio,0
1110,178817.99,391907.82,24,17,6021.16,6,7,4.5,Telefone,B,Medio,0
1111,21750.15,28377.71,104,4,1253.19,1,5,6.8,Telefone,A,Grande,3
1112,128915.21,194105.36,33,20,2921.07,8,6,3.9,Presencial,C,Medio,1
1113,3782.11,2087.26,74,4,1415.81,1,5,0.3,Digital,A,Medio,1
1114,2344.07,3328.58,93,5,1243.93,2,3,0.7,Presencial,A,Micro,4
1115,95458.34,96843.97,31,13,3664.73,7,7,2.4,Digital,B,Micro,1
1116,330107.18,653003.1,38,23,1855.52,7,6,18.0,Digital,B,Grande,0
1117,2011.35,3369.38,97,9,227.16,1,8,1.7,Presencial,A,Micro,2
1118,3519.73,3613.6,89,2,931.71,3,7,1.6,Presencial,A,Micro,2
1119,16376.91,27508.23,83,7,568.45,1,5,7.8,Telefone,A,Medio,2
1120,351692.14,705575.73,36,22,1887.88,4,8,20.0,Digital,B,Micro,3
1121,163815.79,296562.71,28,20,5459.15,4,3,3.2,Presencial,B,Grande,0
1122,280778.12,410310.14,28,16,1816.48,7,6,16.6,Telefone,B,Medio,0
1123,42534.18,67604.13,26,16,1961.6,4,4,2.5,Presencial,B,Medio,2
1124,47191.5,15951.59,30,22,4053.36,12,5,0.2,Presencial,B,Grande,0
1125,5534.84,6226.79,83,4,1103.37,2,4,1.7,Presencial,A,Micro,3
1126,283908.9,436941.18,29,17,2085.8,11,5,14.5,Telefone,C,Micro,1
1127,15920.94,6100.31,33,22,1623.19,5,4,0.2,Telefone,C,Medio,2
1128,3030.75,2007.59,76,3,886.08,1,5,1.1,Telefone,A,Micro,1
1129,13794.88,17718.31,97,6,791.77,1,5,4.4,Digital,A,Medio,3
1130,4458.63,4003.17,87,6,608.59,3,2,1.5,Digital,A,Grande,1
1131,1253.69,2324.98,112,2,721.54,3,3,1.9,Digital,A,Micro,3
1132,278596.45,358569.52,28,15,2865.39,8,6,9.8,Digital,B,Micro,0
1133,90088.31,107707.06,23,23,1227.01,7,7,4.5,Telefone,B,Grande,0
1134,137114.9,333457.08,37,17,1989.47,7,9,11.6,Digital,C,Micro,0
1135,152769.57,194280.66,31,13,3009.97,7,5,5.8,Telefone,B,Medio,0
1136,177379.16,515115.71,28,20,1710.31,10,6,17.7,Digital,B,Micro,0
1137,97972.09,141747.35,31,14,3294.51,5,8,3.6,Telefone,B,Grande,0
1138,3535.55,2958.4,94,5,1208.76,1,4,0.7,Digital,A,Medio,2
1139,16575.64,14168.07,99,6,556.47,3,5,5.1,Digital,A,Medio,0
1140,102804.35,110866.48,24,11,3584.21,4,7,3.3,Presencial,B,Medio,0
1141,0.0,1786.17,116,3,658.86,1,4,1.0,Digital,A,Micro,4
1142,4568.44,7650.74,94,6,640.33,1,5,2.3,Digital,A,Micro,3
1143,137797.51,182538.4,27,19,1396.13,7,7,8.1,Presencial,C,Grande,1
1144,117940.02,245726.5,26,15,2496.79,6,7,7.7,Digital,B,Micro,0
1145,4237.37,4635.36,96,3,1411.11,1,3,1.3,Digital,A,Medio,1
1146,120576.73,229875.96,21,15,3396.92,6,8,5.3,Digital,B,Grande,0
1147,62967.27,65239.91,29,13,5461.75,12,7,1.1,Digital,C,Medio,0
1148,13371.48,20307.6,92,8,1289.53,3,5,2.3,Digital,A,Medio,4
1149,6490.12,10458.54,104,7,840.17,3,6,2.1,Digital,A,Medio,0
1150,90128.23,354922.42,23,17,1228.73,8,7,20.0,Presencial,C,Grande,1
1151,5789.85,4247.41,98,6,1148.18,3,4,0.9,Presencial,A,Micro,1
1152,6500.32,2838.26,95,7,1523.9,3,7,0.3,Presencial,A,Micro,2
1153,18469.68,9310.41,17,16,1744.4,5,6,0.4,Digital,B,Micro,0
1154,48822.59,65588.79,44,16,1936.43,2,8,2.5,Presencial,B,Medio,0
1155,4294.84,5101.19,103,8,992.75,2,3,0.7,Digital,A,Medio,5
1156,5055.34,4357.11,87,5,739.66,2,4,1.3,Presencial,A,Medio,1
1157,5902.71,4154.33,91,3,800.3,5,4,1.7,Telefone,A,Micro,0
1158,169009.37,241354.26,23,19,1315.15,5,7,11.4,Digital,C,Medio,0
1159,10660.2,20513.62,74,4,2304.35,3,5,2.7,Digital,A,Micro,1
1160,27011.23,14753.42,25,11,3056.79,8,5,0.5,Presencial,B,Medio,2
1161,50092.57,24437.74,28,22,4346.64,9,7,0.3,Digital,C,Medio,1
1162,3479.13,1542.58,84,6,1579.31,1,5,0.2,Telefone,A,Micro,3
1163,330011.77,466382.7,29,21,3957.13,1,3,6.6,Telefone,C,Micro,0
1164,172429.4,218004.18,36,13,3289.93,7,6,6.0,Presencial,C,Medio,1
1165,41901.62,39592.97,32,13,1700.64,11,7,2.1,Presencial,C,Medio,0
1166,5698.46,3686.79,100,7,967.57,1,5,0.4,Presencial,A,Micro,0
1167,217820.58,261749.21,31,17,1141.45,6,7,15.9,Presencial,B,Grande,5
1168,9226.38,4257.73,29,12,1420.27,4,9,0.3,Telefone,B,Medio,0
1169,199799.45,282394.34,27,18,2486.82,6,7,7.4,Telefone,C,Grande,1
1170,5347.29,5577.61,100,6,830.05,1,5,1.3,Digital,A,Micro,3
1171,26182.65,8877.66,21,22,2400.12,7,6,0.2,Telefone,B,Medio,1
1172,12620.69,21128.34,104,8,441.52,3,3,7.1,Digital,A,Grande,3
1173,5731.72,7771.72,103,6,828.15,3,5,1.9,Presencial,A,Medio,3
1174,246561.42,333459.08,32,21,2918.85,6,8,6.4,Presencial,B,Medio,1
1175,262611.75,346415.2,33,22,3041.68,7,6,6.1,Digital,C,Micro,1
1176,86523.61,113209.89,24,17,2044.4,5,7,3.8,Digital,B,Micro,0
1177,132584.4,177139.72,27,18,1539.32,9,6,7.5,Telefone,B,Micro,0
1178,347927.79,450313.72,33,19,6496.14,7,7,4.3,Presencial,C,Micro,0
1179,47193.11,56907.41,41,22,1768.68,6,7,1.7,Presencial,B,Micro,0
1180,176634.23,246945.71,22,18,2443.02,3,5,6.6,Presencial,B,Micro,3
1181,11238.27,13522.19,93,5,2022.31,1,5,1.6,Presencial,A,Grande,2
1182,10840.43,3109.69,23,9,1909.29,5,6,0.2,Digital,B,Micro,0
1183,165976.82,386998.82,25,18,2183.05,14,7,11.6,Presencial,B,Medio,0
1184,84129.29,127261.52,25,15,2552.9,5,9,3.9,Digital,C,Grande,0
1185,224455.14,613764.84,31,22,3250.55,3,7,10.1,Digital,B,Medio,1
1186,345539.67,560641.21,30,27,2283.33,5,8,10.7,Digital,B,Micro,4
1187,32289.7,40223.17,86,6,792.16,3,2,10.1,Digital,A,Medio,4
1188,3757.44,3379.45,77,8,1177.58,2,4,0.5,Telefone,A,Medio,4
1189,117554.5,262116.21,21,19,5994.37,4,7,2.7,Presencial,B,Medio,1
1190,2012.71,200.0,86,4,1090.95,2,7,0.2,Presencial,A,Medio,2
1191,18490.6,23156.46,108,5,1688.86,2,3,3.3,Digital,A,Grande,0
1192,268042.16,485944.08,27,22,3333.13,3,5,7.8,Digital,B,Medio,0
1193,3956.45,8034.93,77,3,729.63,2,3,4.3,Digital,A,Micro,3
1194,4103.44,3419.68,92,4,524.0,1,3,2.0,Presencial,A,Medio,1
1195,324257.03,675366.03,25,19,2091.87,4,5,20.0,Digital,B,Micro,0
1196,63652.46,142125.19,24,15,2473.77,8,5,4.5,Presencial,B,Grande,0
1197,145642.42,301384.04,21,17,2706.5,7,5,7.7,Telefone,C,Micro,0
1198,36586.81,45690.8,25,15,494.96,4,5,7.3,Digital,B,Micro,0
1199,188035.86,252422.65,36,17,7937.93,7,7,2.2,Presencial,B,Medio,1
1200,113887.59,93494.18,36,24,2004.01,6,8,2.3,Telefone,C,Medio,0
1201,202001.85,342513.82,25,16,3946.74,8,6,6.4,Digital,C,Micro,0
1202,0.0,1843.51,89,2,1768.91,1,0,0.7,Presencial,A,Medio,5
1203,4061.29,2198.6,94,6,2195.65,1,1,0.2,Digital,A,Grande,3
1204,104842.93,231741.84,34,18,2450.08,8,6,6.2,Presencial,B,Micro,0
1205,181050.2,228306.67,24,15,2383.45,4,8,7.5,Digital,B,Grande,0
1206,53886.53,60989.77,26,15,2992.19,4,6,1.6,Digital,C,Micro,0
1207,33440.14,42762.6,29,25,2503.05,4,6,0.8,Telefone,B,Medio,1
1208,23651.34,27496.01,28,14,1360.8,6,6,1.7,Presencial,B,Grande,1
1209,47059.48,97118.77,37,24,1356.22,10,7,3.5,Telefone,C,Micro,0
1210,49062.16,50474.13,24,22,1292.48,7,6,2.1,Digital,B,Micro,1
1211,0.0,983.45,90,2,509.55,1,5,1.2,Digital,A,Micro,5
1212,25120.06,10690.5,28,18,2342.09,5,4,0.3,Telefone,C,Medio,1
1213,5207.9,9448.22,107,4,972.43,1,6,2.8,Digital,A,Medio,2
1214,68748.5,75413.65,24,22,1738.77,7,8,2.3,Presencial,B,Medio,0
1215,184021.46,219498.49,26,17,4006.77,9,8,3.8,Digital,C,Micro,0
1216,68994.19,65494.44,29,19,1492.26,8,6,2.7,Presencial,B,Micro,1
1217,97266.86,121857.61,26,20,4212.45,7,8,1.7,Presencial,B,Micro,4
1218,564875.04,681311.96,36,20,3422.06,3,6,11.7,Presencial,B,Micro,0
1219,12080.0,16710.59,87,6,884.53,4,1,3.8,Digital,A,Medio,3
1220,6330.04,6813.89,93,6,759.26,2,6,1.7,Presencial,A,Grande,2
1221,356120.72,489787.52,21,16,2793.35,11,8,12.9,Presencial,B,Medio,0
1222,92352.65,119094.52,25,17,2112.07,3,6,3.9,Digital,B,Micro,0
1223,103654.79,165619.99,25,16,1157.04,8,5,10.5,Telefone,B,Grande,1
1224,9063.91,15937.57,87,3,1156.4,1,6,5.5,Digital,A,Medio,3
1225,163501.96,188984.88,30,15,4362.04,6,6,3.4,Telefone,B,Grande,1
1226,109628.67,189098.4,29,22,3263.57,9,7,3.1,Digital,C,Medio,0
1227,14891.53,5080.87,32,11,2646.05,1,5,0.2,Presencial,B,Micro,0
1228,79386.96,76554.84,32,11,2814.07,8,5,2.9,Digital,B,Micro,1
1229,30450.06,40261.19,32,16,1278.36,4,6,2.3,Telefone,B,Medio,1
1230,90213.88,367084.9,23,23,3413.48,4,8,5.5,Telefone,B,Micro,1
1231,402428.92,525748.51,24,18,2470.2,4,4,13.9,Telefone,B,Micro,1
1232,23825.88,15533.7,23,17,2618.98,5,6,0.4,Digital,C,Medio,1
1233,2630.61,998.96,96,4,408.64,2,7,0.5,Digital,A,Medio,0
1234,42370.87,52252.6,35,16,1331.41,5,7,2.9,Digital,C,Medio,0
1235,1272.13,5256.25,94,3,844.13,1,2,2.3,Presencial,A,Micro,3
1236,8201.33,5785.31,104,5,2561.97,1,4,0.5,Digital,A,Micro,2
1237,49840.64,84934.15,20,20,1701.52,8,7,2.9,Presencial,C,Medio,2
1238,0.0,2714.99,84,3,702.31,2,2,1.3,Digital,A,Grande,6
1239,112634.43,139409.1,30,18,1472.75,7,5,6.2,Presencial,B,Medio,0
1240,494201.25,572292.34,22,15,4150.4,8,5,10.8,Telefone,C,Grande,1
1241,64804.44,84991.15,25,18,1541.86,11,8,3.6,Digital,C,Medio,0
1242,113000.23,206674.78,33,12,4591.88,7,6,4.4,Digital,C,Medio,0
1243,18301.16,29428.02,108,8,1246.13,1,1,3.5,Digital,A,Micro,5
1244,67699.8,71745.94,30,20,3485.48,5,7,1.2,Digital,B,Medio,1
1245,17671.59,36791.09,96,8,1378.14,1,6,3.9,Digital,A,Medio,3
1246,35873.45,44626.41,23,15,1247.4,6,6,2.8,Telefone,B,Medio,2
1247,79672.64,267649.89,25,21,1137.48,8,6,13.2,Presencial,C,Medio,0
1248,0.0,2228.75,83,3,407.71,1,1,2.4,Digital,A,Medio,3
1249,84252.98,80395.24,31,18,4748.16,5,4,1.1,Telefone,B,Micro,1
1250,16784.56,18637.86,15,22,655.02,8,5,1.5,Telefone,B,Medio,0
1251,52103.12,71912.9,29,16,2221.47,8,6,2.4,Digital,B,Micro,0
1252,496000.98,506258.54,37,16,7600.41,4,4,4.9,Digital,C,Medio,0
1253,1817.8,569.56,83,2,555.44,3,6,1.2,Digital,A,Micro,2
1254,44244.23,45083.46,23,7,3001.42,6,8,2.5,Digital,B,Micro,0
1255,75042.08,89272.35,35,16,1566.04,13,7,4.2,Digital,C,Micro,1
1256,29788.96,28954.72,34,17,1427.49,9,6,1.4,Telefone,B,Medio,1
1257,9733.78,11163.94,74,5,907.48,2,6,2.8,Digital,A,Micro,0
1258,17018.65,5296.7,15,18,1710.25,6,4,0.2,Digital,B,Micro,0
1259,684.36,494.53,95,4,396.59,2,4,0.6,Digital,A,Medio,2
1260,15802.28,21300.57,97,5,470.13,1,5,10.4,Telefone,A,Micro,1
1261,65090.0,77729.72,28,18,2511.35,8,8,2.0,Telefone,C,Grande,1
1262,242279.22,362696.08,29,25,2314.52,8,7,7.4,Presencial,B,Grande,2
1263,93291.98,193317.24,29,17,2117.4,5,4,6.3,Presencial,C,Medio,1
1264,100677.9,249745.25,23,24,2613.68,7,7,4.7,Digital,C,Micro,0
1265,165162.89,298930.76,29,14,2625.63,7,7,9.6,Presencial,B,Medio,1
1266,3104.74,2590.28,69,3,485.79,1,7,1.9,Digital,A,Micro,1
1267,121045.55,178011.95,31,17,1142.41,4,9,10.8,Presencial,B,Medio,0
1268,11672.41,15705.35,94,5,1799.12,1,8,2.0,Digital,A,Micro,2
1269,86066.51,76975.63,29,12,2891.64,10,8,2.6,Telefone,C,Grande,0
1270,4213.32,3715.5,94,5,884.26,1,3,1.2,Digital,A,Micro,0
1271,765.05,3105.27,84,5,466.91,2,1,1.7,Digital,A,Medio,4
1272,438745.96,621135.94,31,25,1581.48,8,8,18.5,Telefone,B,Medio,0
1273,760.04,200.0,103,7,409.57,1,3,0.3,Digital,A,Medio,1
1274,40871.31,62130.98,80,10,1878.81,5,5,3.9,Digital,A,Micro,6
1275,41120.77,63694.7,35,10,3916.8,8,5,1.9,Presencial,B,Grande,0
1276,3641.09,1109.72,95,7,803.43,3,3,0.2,Digital,A,Medio,0
1277,0.0,500.09,95,3,691.84,1,0,0.5,Telefone,A,Medio,4
1278,14461.29,20224.12,85,3,2159.5,1,7,3.6,Digital,A,Micro,1
1279,18607.23,19897.92,20,13,1046.03,6,5,1.7,Presencial,B,Medio,0
1280,114670.06,180393.43,30,18,1168.86,3,7,10.1,Presencial,B,Micro,1
1281,57427.52,76366.89,30,17,2489.96,4,5,2.1,Telefone,B,Micro,3
1282,39797.84,30800.55,28,18,2817.95,7,6,0.7,Presencial,B,Micro,0
1283,4791.19,3937.57,112,2,655.38,1,4,3.2,Digital,A,Grande,1
1284,619966.48,651545.36,33,10,3830.36,3,5,20.0,Digital,C,Micro,0
1285,5136.25,14492.46,97,3,1487.81,1,2,3.9,Telefone,A,Micro,3
1286,124790.33,164832.01,29,29,4167.9,9,7,1.6,Presencial,B,Medio,0
1287,467800.78,746137.66,32,21,2333.76,4,6,17.9,Presencial,C,Medio,0
1288,131935.84,181198.48,30,14,15208.58,10,8,1.0,Digital,C,Micro,0
1289,14477.7,29467.71,114,6,750.54,3,6,7.7,Digital,A,Medio,3
1290,7347.01,8565.19,97,8,1197.7,2,7,1.2,Digital,A,Micro,5
1291,504765.37,841129.37,32,23,3184.32,11,9,13.5,Digital,B,Micro,1
1292,764.4,2710.51,91,5,838.45,1,6,0.5,Digital,A,Micro,6
1293,135879.58,371069.07,30,23,2263.1,5,7,8.4,Digital,C,Grande,1
1294,55171.45,53892.31,21,15,2218.57,9,6,1.9,Telefone,B,Micro,1
1295,24498.19,38252.61,24,18,939.28,6,5,2.6,Telefone,B,Micro,1
1296,2107.3,1826.63,90,5,356.86,4,7,0.9,Telefone,A,Micro,3
1297,130280.37,142492.26,25,21,715.72,6,4,11.1,Presencial,B,Grande,2
1298,535374.12,644469.9,31,17,3621.48,9,5,12.3,Presencial,B,Micro,1
1299,208142.39,247950.99,38,22,4894.01,6,7,2.7,Presencial,C,Micro,0
1300,5788.14,4388.01,97,2,970.29,2,7,2.6,Digital,A,Micro,0
1301,18492.17,56227.37,98,8,633.94,2,3,13.0,Digital,A,Micro,6
1302,3269.83,503.59,97,6,864.11,1,8,0.2,Digital,A,Medio,0
1303,3992.84,3540.06,85,4,644.2,1,6,1.9,Presencial,A,Medio,1
1304,68000.95,60994.57,36,15,1962.24,5,7,2.4,Digital,B,Micro,2
1305,189125.94,186404.17,34,23,4341.94,5,8,2.2,Digital,C,Micro,0
1306,12131.95,2982.51,25,11,1514.72,8,7,0.2,Digital,B,Micro,0
1307,151032.17,340634.65,27,19,2570.8,6,7,8.2,Telefone,C,Micro,0
1308,4808.35,7876.2,111,5,1385.63,2,6,1.6,Digital,A,Micro,4
1309,4344.72,3216.85,102,5,1080.83,1,6,0.8,Digital,A,Medio,1
1310,2932.09,1410.04,107,6,749.83,1,9,0.2,Digital,A,Grande,1
1311,1373.61,796.18,80,2,560.68,2,5,1.3,Digital,A,Grande,2
1312,44440.59,52144.9,28,20,1928.94,3,7,1.6,Presencial,C,Grande,1
1313,3013.22,4066.11,89,3,742.09,4,3,2.0,Presencial,A,Medio,3
1314,118437.23,315527.99,24,16,5157.09,7,5,4.5,Telefone,B,Medio,0
1315,84355.57,105022.22,25,18,1186.77,4,9,5.7,Telefone,B,Micro,1
1316,130739.79,286952.1,24,17,3489.29,7,9,5.7,Telefone,C,Medio,0
1317,23262.69,28741.38,102,6,849.08,2,5,6.7,Digital,A,Medio,2
1318,18946.46,33911.45,98,10,710.85,1,4,5.6,Digital,A,Medio,0
1319,4722.3,2465.83,74,6,897.64,3,4,0.5,Digital,A,Medio,1
1320,274824.56,430813.61,21,23,4006.58,8,7,5.5,Presencial,B,Micro,0
1321,10154.48,11727.81,84,4,1365.17,2,4,2.4,Digital,A,Micro,3
1322,314177.22,327302.56,37,17,3905.27,8,8,5.8,Presencial,C,Grande,0
1323,177903.05,180749.31,34,24,3305.62,10,6,2.7,Digital,B,Micro,1
1324,49234.77,67545.62,31,15,2396.16,6,7,2.2,Presencial,B,Medio,2
1325,110885.85,210161.03,27,17,2175.4,7,7,6.7,Digital,B,Grande,0
1326,34543.52,60088.22,87,5,2872.89,3,5,4.8,Presencial,A,Medio,4
1327,218711.46,269459.97,23,15,4489.33,10,7,4.7,Presencial,B,Medio,0
