id_transacao,id_cliente,produto,categoria,data_pedido,qtd,valor_item,canal,segmento_cliente
47,1645,Produto Gamma,Linha_B,2024-04-23,1,89.98,Telefone,A
48,3141,Produto Beta,Linha_A,2024-05-15,5,252.83,Telefone,A
49,4207,Produto Theta,Linha_D,2024-01-20,4,441.23,Telefone,A
50,2853,Produto Alpha,Linha_A,2025-07-30,5,198.99,Presencial,A
50,2853,Produto Beta,Linha_A,2025-07-30,4,216.02,Presencial,A
51,2258,Produto Alpha,Linha_A,2025-05-22,4,197.57,Telefone,A
51,2258,Produto Beta,Linha_A,2025-05-22,1,218.84,Telefone,A
52,3776,Produto Theta,Linha_D,2025-10-14,5,380.82,Presencial,B
52,3776,Produto Delta,Linha_B,2025-10-14,1,328.18,Presencial,B
53,3947,Produto Gamma,Linha_B,2025-03-19,4,96.1,Telefone,B
53,3947,Produto Alpha,Linha_A,2025-03-19,1,174.63,Telefone,B
53,3947,Produto Delta,Linha_B,2025-03-19,2,337.01,Telefone,B
53,3947,Produto Zeta,Linha_C,2025-03-19,1,261.2,Telefone,B
54,5164,Produto Theta,Linha_D,2024-08-31,1,453.84,Digital,C
55,2426,Produto Beta,Linha_A,2025-02-22,5,232.43,Presencial,B
56,1341,Produto Zeta,Linha_C,2025-03-25,3,321.65,Telefone,C
56,1341,Produto Delta,Linha_B,2025-03-25,2,349.24,Telefone,C
57,2641,Produto Beta,Linha_A,2024-08-10,4,216.03,Telefone,A
57,2641,Produto Zeta,Linha_C,2024-08-10,4,320.92,Telefone,A
58,4143,Produto Gamma,Linha_B,2024-05-26,3,104.03,Presencial,B
58,4143,Produto Delta,Linha_B,2024-05-26,1,357.29,Presencial,B
58,4143,Produto Theta,Linha_D,2024-05-26,4,412.34,Presencial,B
58,4143,Produto Kappa,Linha_E,2024-05-26,4,199.55,Presencial,B
59,1327,Produto Eta,Linha_D,2024-10-01,2,70.54,Digital,B
60,4689,Produto Gamma,Linha_B,2024-01-11,4,101.95,Telefone,A
60,4689,Produto Beta,Linha_A,2024-01-11,2,239.32,Telefone,A
60,4689,Produto Eta,Linha_D,2024-01-11,1,76.34,Telefone,A
61,3658,Produto Beta,Linha_A,2024-09-03,3,218.4,Digital,B
61,3658,Produto Kappa,Linha_E,2024-09-03,1,198.46,Digital,B
62,3845,Produto Iota,Linha_E,2025-10-27,4,145.51,Digital,A
62,3845,Produto Epsilon,Linha_C,2025-10-27,2,152.22,Digital,A
63,4566,Produto Beta,Linha_A,2024-01-22,3,224.41,Digital,A
63,4566,Produto Theta,Linha_D,2024-01-22,4,450.99,Digital,A
63,4566,Produto Delta,Linha_B,2024-01-22,2,351.08,Digital,A
64,5303,Produto Gamma,Linha_B,2025-07-08,2,87.09,Digital,B
64,5303,Produto Beta,Linha_A,2025-07-08,4,221.73,Digital,B
64,5303,Produto Eta,Linha_D,2025-07-08,1,83.87,Digital,B
64,5303,Produto Theta,Linha_D,2025-07-08,4,424.92,Digital,B
65,3029,Produto Gamma,Linha_B,2025-07-30,2,88.99,Digital,A
65,3029,Produto Iota,Linha_E,2025-07-30,5,171.47,Digital,A
65,3029,Produto Epsilon,Linha_C,2025-07-30,1,144.02,Digital,A
65,3029,Produto Alpha,Linha_A,2025-07-30,5,191.56,Digital,A
66,2309,Produto Alpha,Linha_A,2025-05-26,1,167.54,Telefone,C
66,2309,Produto Beta,Linha_A,2025-05-26,5,243.81,Telefone,C
67,1320,Produto Alpha,Linha_A,2024-05-13,1,169.57,Digital,B
67,1320,Produto Iota,Linha_E,2024-05-13,5,175.73,Digital,B
67,1320,Produto Beta,Linha_A,2024-05-13,4,217.54,Digital,B
67,1320,Produto Gamma,Linha_B,2024-05-13,4,99.14,Digital,B
68,1246,Produto Gamma,Linha_B,2025-02-21,2,88.57,Digital,B
68,1246,Produto Beta,Linha_A,2025-02-21,1,235.22,Digital,B
68,1246,Produto Eta,Linha_D,2025-02-21,5,75.05,Digital,B
69,1674,Produto Gamma,Linha_B,2024-09-30,5,100.84,Digital,A
69,1674,Produto Epsilon,Linha_C,2024-09-30,1,153.88,Digital,A
69,1674,Produto Alpha,Linha_A,2024-09-30,2,165.31,Digital,A
69,1674,Produto Delta,Linha_B,2024-09-30,5,298.46,Digital,A
70,5255,Produto Alpha,Linha_A,2025-11-29,5,189.05,Digital,A
70,5255,Produto Gamma,Linha_B,2025-11-29,3,87.4,Digital,A
70,5255,Produto Delta,Linha_B,2025-11-29,4,328.01,Digital,A
71,4839,Produto Gamma,Linha_B,2025-12-19,2,95.22,Digital,C
71,4839,Produto Beta,Linha_A,2025-12-19,5,249.55,Digital,C
71,4839,Produto Eta,Linha_D,2025-12-19,4,79.74,Digital,C
71,4839,Produto Epsilon,Linha_C,2025-12-19,3,150.03,Digital,C
71,4839,Produto Delta,Linha_B,2025-12-19,4,339.09,Digital,C
72,2042,Produto Zeta,Linha_C,2024-04-14,3,282.43,Telefone,C
73,1879,Produto Gamma,Linha_B,2025-08-05,4,92.53,Digital,B
73,1879,Produto Theta,Linha_D,2025-08-05,2,381.15,Digital,B
73,1879,Produto Alpha,Linha_A,2025-08-05,2,171.86,Digital,B
73,1879,Produto Iota,Linha_E,2025-08-05,4,175.7,Digital,B
73,1879,Produto Delta,Linha_B,2025-08-05,1,339.28,Digital,B
74,1338,Produto Gamma,Linha_B,2025-02-25,4,103.76,Presencial,B
74,1338,Produto Beta,Linha_A,2025-02-25,4,218.42,Presencial,B
74,1338,Produto Eta,Linha_D,2025-02-25,5,77.42,Presencial,B
74,1338,Produto Zeta,Linha_C,2025-02-25,3,302.36,Presencial,B
75,5685,Produto Alpha,Linha_A,2025-11-05,5,176.7,Telefone,B
75,5685,Produto Zeta,Linha_C,2025-11-05,3,266.76,Telefone,B
75,5685,Produto Gamma,Linha_B,2025-11-05,1,106.32,Telefone,B
75,5685,Produto Theta,Linha_D,2025-11-05,5,408.8,Telefone,B
76,5508,Produto Gamma,Linha_B,2025-09-12,1,91.49,Digital,A
76,5508,Produto Eta,Linha_D,2025-09-12,5,69.22,Digital,A
76,5508,Produto Zeta,Linha_C,2025-09-12,4,299.93,Digital,A
77,1581,Produto Alpha,Linha_A,2025-07-24,3,199.58,Digital,B
77,1581,Produto Beta,Linha_A,2025-07-24,1,262.13,Digital,B
77,1581,Produto Gamma,Linha_B,2025-07-24,3,94.57,Digital,B
77,1581,Produto Theta,Linha_D,2025-07-24,2,432.84,Digital,B
78,2684,Produto Gamma,Linha_B,2025-02-21,4,91.04,Digital,A
78,2684,Produto Beta,Linha_A,2025-02-21,1,264.72,Digital,A
78,2684,Produto Alpha,Linha_A,2025-02-21,5,163.48,Digital,A
78,2684,Produto Iota,Linha_E,2025-02-21,4,178.06,Digital,A
78,2684,Produto Epsilon,Linha_C,2025-02-21,4,139.15,Digital,A
79,1344,Produto Alpha,Linha_A,2025-10-28,4,196.69,Digital,B
79,1344,Produto Zeta,Linha_C,2025-10-28,2,308.14,Digital,B
80,5139,Produto Gamma,Linha_B,2025-06-25,2,104.53,Digital,A
80,5139,Produto Epsilon,Linha_C,2025-06-25,1,133.96,Digital,A
80,5139,Produto Eta,Linha_D,2025-06-25,5,80.78,Digital,A
81,4513,Produto Alpha,Linha_A,2025-11-23,5,186.45,Digital,A
81,4513,Produto Beta,Linha_A,2025-11-23,2,222.55,Digital,A
81,4513,Produto Theta,Linha_D,2025-11-23,1,427.81,Digital,A
81,4513,Produto Delta,Linha_B,2025-11-23,1,348.61,Digital,A
82,3938,Produto Iota,Linha_E,2024-03-14,1,168.64,Digital,B
82,3938,Produto Epsilon,Linha_C,2024-03-14,5,131.24,Digital,B
82,3938,Produto Delta,Linha_B,2024-03-14,3,290.62,Digital,B
83,5237,Produto Beta,Linha_A,2025-11-16,1,262.86,Telefone,C
84,3931,Produto Theta,Linha_D,2025-11-18,4,423.19,Presencial,A
84,3931,Produto Delta,Linha_B,2025-11-18,5,350.61,Presencial,A
85,1835,Produto Alpha,Linha_A,2025-11-25,2,176.75,Digital,C
85,1835,Produto Beta,Linha_A,2025-11-25,5,228.33,Digital,C
85,1835,Produto Gamma,Linha_B,2025-11-25,4,92.42,Digital,C
86,1701,Produto Alpha,Linha_A,2024-08-14,3,197.61,Digital,C
86,1701,Produto Beta,Linha_A,2024-08-14,2,259.61,Digital,C
86,1701,Produto Gamma,Linha_B,2024-08-14,5,93.95,Digital,C
87,4372,Produto Theta,Linha_D,2024-12-26,5,447.95,Telefone,C
88,1858,Produto Eta,Linha_D,2025-05-18,3,81.02,Digital,A
89,1125,Produto Beta,Linha_A,2025-11-26,5,217.29,Digital,A
90,2267,Produto Gamma,Linha_B,2024-11-19,3,103.3,Telefone,A
91,3660,Produto Eta,Linha_D,2024-12-06,4,78.59,Digital,C
92,4025,Produto Epsilon,Linha_C,2025-07-05,1,149.57,Telefone,A
93,2634,Produto Beta,Linha_A,2025-05-01,3,235.61,Telefone,B
93,2634,Produto Eta,Linha_D,2025-05-01,4,77.73,Telefone,B
93,2634,Produto Theta,Linha_D,2025-05-01,4,470.1,Telefone,B
93,2634,Produto Zeta,Linha_C,2025-05-01,3,267.87,Telefone,B
93,2634,Produto Alpha,Linha_A,2025-05-01,5,198.79,Telefone,B
93,2634,Produto Delta,Linha_B,2025-05-01,1,313.97,Telefone,B
94,2509,Produto Iota,Linha_E,2024-12-31,4,175.97,Digital,A
95,2049,Produto Alpha,Linha_A,2024-02-05,1,196.83,Telefone,C
95,2049,Produto Gamma,Linha_B,2024-02-05,4,92.27,Telefone,C
96,4348,Produto Alpha,Linha_A,2024-07-24,4,191.91,Telefone,A
96,4348,Produto Gamma,Linha_B,2024-07-24,3,101.48,Telefone,A
97,5535,Produto Gamma,Linha_B,2024-12-22,5,86.9,Digital,B
97,5535,Produto Beta,Linha_A,2024-12-22,2,263.69,Digital,B
97,5535,Produto Eta,Linha_D,2024-12-22,4,77.96,Digital,B
97,5535,Produto Zeta,Linha_C,2024-12-22,1,290.21,Digital,B
98,5770,Produto Alpha,Linha_A,2025-05-17,4,163.43,Telefone,B
98,5770,Produto Iota,Linha_E,2025-05-17,3,165.4,Telefone,B
99,4008,Produto Theta,Linha_D,2025-10-10,2,469.19,Digital,C
99,4008,Produto Delta,Linha_B,2025-10-10,2,307.02,Digital,C
100,4933,Produto Gamma,Linha_B,2024-02-22,1,89.02,Digital,B
100,4933,Produto Iota,Linha_E,2024-02-22,4,160.43,Digital,B
100,4933,Produto Beta,Linha_A,2024-02-22,5,239.03,Digital,B
100,4933,Produto Eta,Linha_D,2024-02-22,2,82.79,Digital,B
101,5497,Produto Theta,Linha_D,2025-11-09,2,401.66,Telefone,B
101,5497,Produto Delta,Linha_B,2025-11-09,5,325.67,Telefone,B
102,2668,Produto Beta,Linha_A,2025-02-17,4,223.48,Digital,A
102,2668,Produto Eta,Linha_D,2025-02-17,5,74.51,Digital,A
103,3749,Produto Eta,Linha_D,2024-08-19,1,82.84,Presencial,A
104,2302,Produto Alpha,Linha_A,2025-05-28,2,193.68,Presencial,B
105,3102,Produto Alpha,Linha_A,2024-07-26,5,183.1,Digital,B
105,3102,Produto Iota,Linha_E,2024-07-26,3,169.33,Digital,B
105,3102,Produto Epsilon,Linha_C,2024-07-26,5,154.79,Digital,B
105,3102,Produto Beta,Linha_A,2024-07-26,1,258.13,Digital,B
106,2871,Produto Gamma,Linha_B,2025-05-22,3,98.73,Telefone,A
106,2871,Produto Beta,Linha_A,2025-05-22,3,225.81,Telefone,A
106,2871,Produto Eta,Linha_D,2025-05-22,2,82.32,Telefone,A
106,2871,Produto Delta,Linha_B,2025-05-22,4,317.43,Telefone,A
107,2569,Produto Eta,Linha_D,2025-07-17,5,77.7,Digital,B
108,5644,Produto Alpha,Linha_A,2024-08-30,1,162.88,Digital,B
108,5644,Produto Gamma,Linha_B,2024-08-30,2,91.69,Digital,B
109,1526,Produto Theta,Linha_D,2024-06-28,4,443.4,Digital,C
110,2757,Produto Beta,Linha_A,2024-01-13,2,243.16,Telefone,A
111,1646,Produto Theta,Linha_D,2025-12-18,4,394.04,Digital,C
111,1646,Produto Delta,Linha_B,2025-12-18,3,300.11,Digital,C
112,4784,Produto Iota,Linha_E,2025-08-17,2,177.98,Digital,B
112,4784,Produto Epsilon,Linha_C,2025-08-17,1,129.24,Digital,B
112,4784,Produto Beta,Linha_A,2025-08-17,4,246.97,Digital,B
112,4784,Produto Eta,Linha_D,2025-08-17,1,77.7,Digital,B
113,3546,Produto Iota,Linha_E,2024-07-25,1,179.19,Telefone,B
114,2507,Produto Beta,Linha_A,2024-08-16,2,219.51,Digital,C
115,5045,Produto Alpha,Linha_A,2024-07-08,5,175.99,Telefone,B
115,5045,Produto Beta,Linha_A,2024-07-08,1,267.34,Telefone,B
115,5045,Produto Delta,Linha_B,2024-07-08,1,342.08,Telefone,B
116,3518,Produto Epsilon,Linha_C,2024-06-30,4,139.76,Digital,C
116,3518,Produto Beta,Linha_A,2024-06-30,4,216.32,Digital,C
117,4877,Produto Gamma,Linha_B,2024-11-22,3,94.86,Presencial,A
117,4877,Produto Eta,Linha_D,2024-11-22,3,79.27,Presencial,A
118,3311,Produto Alpha,Linha_A,2024-04-30,2,188.99,Digital,C
118,3311,Produto Epsilon,Linha_C,2024-04-30,5,153.24,Digital,C
118,3311,Produto Gamma,Linha_B,2024-04-30,3,97.07,Digital,C
119,3867,Produto Alpha,Linha_A,2025-07-29,5,191.58,Digital,A
119,3867,Produto Gamma,Linha_B,2025-07-29,4,102.22,Digital,A
120,1551,Produto Gamma,Linha_B,2025-02-09,5,104.35,Digital,C
120,1551,Produto Iota,Linha_E,2025-02-09,2,162.18,Digital,C
120,1551,Produto Epsilon,Linha_C,2025-02-09,1,140.45,Digital,C
120,1551,Produto Eta,Linha_D,2025-02-09,4,69.35,Digital,C
121,4120,Produto Iota,Linha_E,2025-05-15,2,160.73,Digital,A
121,4120,Produto Beta,Linha_A,2025-05-15,1,232.24,Digital,A
122,1951,Produto Gamma,Linha_B,2024-09-29,1,98.93,Telefone,B
122,1951,Produto Zeta,Linha_C,2024-09-29,3,290.75,Telefone,B
123,2365,Produto Alpha,Linha_A,2025-11-29,5,201.02,Digital,C
123,2365,Produto Beta,Linha_A,2025-11-29,1,263.79,Digital,C
123,2365,Produto Eta,Linha_D,2025-11-29,5,80.68,Digital,C
124,4662,Produto Gamma,Linha_B,2024-12-23,4,97.72,Presencial,A
124,4662,Produto Beta,Linha_A,2024-12-23,2,250.14,Presencial,A
124,4662,Produto Eta,Linha_D,2024-12-23,2,67.57,Presencial,A
124,4662,Produto Zeta,Linha_C,2024-12-23,5,294.13,Presencial,A
124,4662,Produto Alpha,Linha_A,2024-12-23,4,167.39,Presencial,A
125,4128,Produto Gamma,Linha_B,2024-11-08,1,93.06,Digital,C
125,4128,Produto Eta,Linha_D,2024-11-08,2,80.56,Digital,C
126,5041,Produto Gamma,Linha_B,2024-08-13,3,86.73,Digital,B
126,5041,Produto Beta,Linha_A,2024-08-13,5,260.08,Digital,B
126,5041,Produto Alpha,Linha_A,2024-08-13,1,193.66,Digital,B
127,2976,Produto Alpha,Linha_A,2025-12-14,3,197.16,Digital,A
127,2976,Produto Beta,Linha_A,2025-12-14,2,244.31,Digital,A
127,2976,Produto Gamma,Linha_B,2025-12-14,2,92.67,Digital,A
127,2976,Produto Kappa,Linha_E,2025-12-14,4,194.52,Digital,A
128,4972,Produto Iota,Linha_E,2025-11-01,1,156.21,Digital,A
128,4972,Produto Epsilon,Linha_C,2025-11-01,5,133.12,Digital,A
129,1514,Produto Alpha,Linha_A,2024-04-18,3,175.51,Digital,B
129,1514,Produto Eta,Linha_D,2024-04-18,3,78.37,Digital,B
129,1514,Produto Beta,Linha_A,2024-04-18,3,230.43,Digital,B
129,1514,Produto Gamma,Linha_B,2024-04-18,4,94.63,Digital,B
130,1589,Produto Epsilon,Linha_C,2024-12-16,3,143.61,Telefone,A
130,1589,Produto Beta,Linha_A,2024-12-16,4,234.02,Telefone,A
130,1589,Produto Theta,Linha_D,2024-12-16,3,418.89,Telefone,A
130,1589,Produto Delta,Linha_B,2024-12-16,1,336.48,Telefone,A
131,2926,Produto Gamma,Linha_B,2024-11-21,4,101.27,Telefone,B
131,2926,Produto Alpha,Linha_A,2024-11-21,4,176.93,Telefone,B
131,2926,Produto Zeta,Linha_C,2024-11-21,1,323.75,Telefone,B
132,2234,Produto Zeta,Linha_C,2025-04-03,4,263.13,Digital,A
133,1510,Produto Gamma,Linha_B,2024-04-17,2,100.21,Digital,A
133,1510,Produto Eta,Linha_D,2024-04-17,4,76.8,Digital,A
134,3312,Produto Alpha,Linha_A,2024-08-13,4,177.38,Digital,B
134,3312,Produto Zeta,Linha_C,2024-08-13,4,312.83,Digital,B
135,1188,Produto Alpha,Linha_A,2024-05-03,2,181.57,Presencial,A
136,1368,Produto Beta,Linha_A,2025-10-23,3,267.52,Digital,A
136,1368,Produto Theta,Linha_D,2025-10-23,5,415.74,Digital,A
136,1368,Produto Kappa,Linha_E,2025-10-23,5,224.05,Digital,A
137,2897,Produto Gamma,Linha_B,2024-11-02,1,91.05,Telefone,A
137,2897,Produto Beta,Linha_A,2024-11-02,2,240.79,Telefone,A
137,2897,Produto Eta,Linha_D,2024-11-02,1,83.33,Telefone,A
138,2957,Produto Zeta,Linha_C,2024-12-26,3,266.7,Presencial,C
138,2957,Produto Delta,Linha_B,2024-12-26,5,311.97,Presencial,C
139,4163,Produto Gamma,Linha_B,2024-07-17,5,90.6,Digital,B
139,4163,Produto Beta,Linha_A,2024-07-17,5,253.3,Digital,B
139,4163,Produto Eta,Linha_D,2024-07-17,3,78.36,Digital,B
139,4163,Produto Alpha,Linha_A,2024-07-17,1,200.69,Digital,B
139,4163,Produto Epsilon,Linha_C,2024-07-17,3,136.42,Digital,B
140,4519,Produto Alpha,Linha_A,2024-12-18,3,195.88,Digital,C
140,4519,Produto Beta,Linha_A,2024-12-18,3,221.97,Digital,C
140,4519,Produto Delta,Linha_B,2024-12-18,4,351.84,Digital,C
141,5072,Produto Beta,Linha_A,2024-09-08,5,242.35,Digital,A
142,2419,Produto Gamma,Linha_B,2024-06-22,3,105.08,Telefone,B
142,2419,Produto Epsilon,Linha_C,2024-06-22,5,146.17,Telefone,B
142,2419,Produto Eta,Linha_D,2024-06-22,2,83.88,Telefone,B
143,3102,Produto Gamma,Linha_B,2024-05-25,4,104.18,Presencial,B
143,3102,Produto Eta,Linha_D,2024-05-25,1,69.69,Presencial,B
