id_cliente;reduziu_compras;segmento_A;var_compras_6m;freq_compras_trim;ticket_medio_ratio;tempo_cliente_anos;nps_score;canal_digital;vendedor_rotatividade;regiao;porte;inadimplencia_hist;segmento
1026;0;1;20.2;2;0.865;3.7;2.0;0;5;Norte;Micro;0;A
1027;0;0;8.7;2;1.119;3.5;3.0;0;1;Sul;Medio;1;B
1028;0;0;11.9;5;1.125;3.4;7.0;0;0;Sudeste;Micro;1;C
1029;1;1;-7.7;3;0.407;2.0;5.0;1;0;Sudeste;Micro;1;A
1030;0;0;-26.7;5;0.772;6.6;4.0;1;1;Sul;Medio;0;B
1031;0;1;-25.2;3;0.642;13.7;1.0;1;3;Centro-Oeste;Medio;0;A
1032;0;0;-9.1;4;0.97;1.0;6.0;0;2;Sul;Medio;0;B
1033;0;1;-2.5;4;0.806;0.2;4.0;0;3;Sul;Medio;0;A
1034;0;0;-0.8;8;0.948;4.1;7.0;0;3;Nordeste;Micro;0;B
1035;0;1;6.3;2;0.669;6.3;;1;1;Nordeste;Medio;0;A
1036;1;1;-9.3;0;1.053;1.1;1.0;1;1;Norte;Micro;0;A
1037;0;0;4.8;6;1.347;3.7;8.0;1;1;Sudeste;Micro;0;C
1038;0;1;-29.2;3;0.913;1.5;1.0;1;2;Sul;Micro;0;A
1039;0;0;-6.3;5;0.891;12.3;5.0;0;0;Centro-Oeste;Micro;0;B
1040;0;1;14.2;5;0.872;1.0;3.0;0;4;Sudeste;Micro;0;A
1041;0;0;-32.7;5;1.332;5.8;6.0;0;1;Sul;Grande;0;B
1042;0;0;6.3;6;0.996;0.2;;1;1;Sudeste;Grande;0;B
1043;1;1;-16.3;0;1.075;0.4;3.0;1;1;Sul;Micro;0;A
1044;0;1;-63.2;0;1.206;4.4;;1;1;Nordeste;Micro;0;A
1045;0;1;8.2;0;0.995;1.1;3.0;1;3;Sudeste;Micro;0;A
1046;0;0;12.2;4;1.186;20.0;;1;2;Centro-Oeste;Micro;0;B
1047;0;0;22.6;4;1.126;9.7;;1;0;Sudeste;Grande;0;C
1048;0;0;22.9;1;1.189;0.3;6.0;1;0;Sudeste;Micro;0;B
1049;0;0;26.2;3;1.142;15.3;4.0;0;2;Sudeste;Medio;0;B
1050;0;1;-1.8;2;0.511;7.8;6.0;0;3;Sul;Micro;0;A
1051;0;1;-1.8;0;1.073;5.4;7.0;1;1;Nordeste;Grande;0;A
1052;0;1;-10.2;2;0.799;0.5;6.0;1;1;Norte;Micro;0;A
1053;0;1;1.8;1;1.316;1.6;5.0;0;4;Nordeste;Medio;0;A
1054;0;1;36.5;2;1.389;8.9;3.0;0;4;Nordeste;Micro;0;A
1055;0;0;-9.1;5;0.995;0.8;6.0;0;0;Sudeste;Medio;0;B
1056;0;0;18.3;8;1.095;2.2;9.0;1;2;Nordeste;Micro;0;B
1057;0;0;24.8;3;0.955;9.7;5.0;0;2;Sul;Micro;0;C
1058;1;1;-48.8;2;0.57;0.3;6.0;1;3;Sul;Grande;0;A
1059;0;0;45.9;4;1.037;0.8;7.0;1;0;Sul;Grande;0;B
1060;0;0;21.0;2;1.057;0.7;9.0;0;2;Sudeste;Grande;0;C
1061;0;0;14.2;2;0.763;2.6;8.0;1;3;Sudeste;Medio;0;B
1062;0;1;-25.2;2;0.534;3.7;5.0;0;0;Sudeste;Medio;0;A
1063;1;1;-1.1;0;0.126;0.7;3.0;1;5;Norte;Micro;1;A
1064;0;1;-40.3;1;0.523;0.2;3.0;0;3;Sudeste;Micro;0;A
1065;0;1;16.6;3;0.966;10.6;3.0;1;5;Sudeste;Micro;0;A
1066;0;0;29.0;3;1.368;10.7;8.0;0;3;Sudeste;Medio;1;B
1067;1;1;-20.5;2;0.346;0.9;4.0;0;2;Sul;Micro;0;A
1068;0;1;10.8;0;0.485;5.9;3.0;0;1;Norte;Micro;0;A
1069;0;0;-26.8;5;1.32;5.3;5.0;0;0;Sul;Medio;0;B
1070;0;0;-12.1;2;0.862;7.3;8.0;0;0;Nordeste;Medio;0;C
1071;0;0;9.3;4;0.949;3.4;6.0;0;0;Norte;Micro;0;B
1072;0;0;10.1;7;0.899;20.0;6.0;0;3;Sul;Micro;0;B
1073;0;0;17.1;4;1.252;0.2;5.0;0;1;Sul;Micro;0;B
1074;0;1;-13.8;2;1.148;5.0;1.0;1;2;Norte;Micro;0;A
1075;0;0;33.0;3;1.066;2.5;6.0;0;2;Centro-Oeste;Micro;0;B
1076;0;0;-21.1;12;0.953;3.0;;1;3;Centro-Oeste;Medio;0;B
1077;0;0;-30.2;5;1.001;12.7;5.0;0;0;Norte;Medio;0;C
1078;0;1;-45.9;1;0.976;9.1;6.0;1;2;Sul;Medio;0;A
1079;0;0;-17.9;0;1.166;0.2;6.0;1;1;Sudeste;Micro;0;B
1080;1;1;-17.1;1;;0.6;4.0;1;6;Sul;Medio;0;A
1081;0;0;5.4;3;1.04;2.7;5.0;1;2;Nordeste;Micro;0;B
1082;1;1;-11.3;2;0.622;2.1;3.0;1;5;Centro-Oeste;Medio;1;A
1083;1;1;-10.4;0;0.633;0.2;7.0;1;2;Sudeste;Medio;0;A
1084;0;0;13.9;6;0.742;5.0;7.0;0;1;Sul;Micro;0;C
1085;0;0;-22.3;3;1.302;6.2;7.0;0;0;Sudeste;Micro;1;B
1086;0;0;4.1;3;0.552;7.3;7.0;0;1;Sudeste;Grande;0;B
1087;0;1;-27.7;6;0.841;0.2;7.0;1;6;Centro-Oeste;Micro;0;A
1088;0;1;7.0;1;0.774;4.5;3.0;1;5;Centro-Oeste;Medio;0;A
1089;0;0;15.6;3;1.029;10.4;6.0;0;0;Nordeste;Micro;0;B
1090;0;0;45.8;3;0.915;6.6;7.0;0;2;Sudeste;Medio;0;C
1091;0;0;-11.1;4;0.985;6.8;6.0;1;1;Sul;Micro;0;C
1092;0;0;2.6;7;1.437;20.0;7.0;1;2;Centro-Oeste;Micro;0;B
1093;0;0;26.9;5;1.066;8.1;6.0;1;1;Norte;Medio;0;B
1094;0;0;-1.3;4;1.086;8.8;7.0;1;0;Sudeste;Micro;0;C
1095;0;0;16.2;1;1.093;15.1;6.0;0;0;Norte;Micro;0;B
1096;0;0;-3.5;4;0.896;0.8;8.0;0;2;Sudeste;Micro;0;B
1097;0;1;6.0;2;0.655;3.6;5.0;0;3;Sudeste;Micro;0;A
1098;0;0;-19.4;4;1.166;4.3;4.0;0;0;Sudeste;Micro;0;B
1099;0;0;47.0;3;0.865;2.0;5.0;0;1;Sul;Micro;0;B
1100;0;0;24.1;6;1.029;9.1;8.0;0;2;Sul;Grande;0;C
1101;0;0;18.6;5;1.306;7.2;6.0;0;1;Sul;Micro;0;C
1102;0;1;-9.4;2;0.633;5.8;2.0;1;3;Centro-Oeste;Medio;0;A
1103;0;0;-5.2;4;1.026;20.0;5.0;1;1;Sudeste;Micro;0;B
1104;0;0;22.9;2;0.989;1.5;;1;0;Sudeste;Micro;0;C
1105;0;1;-27.6;2;0.891;0.2;5.0;1;3;Nordeste;Grande;1;A
1106;1;1;-59.3;3;0.812;1.6;2.0;1;1;Sudeste;Micro;0;A
1107;1;1;-15.4;1;0.63;5.4;;1;1;Sudeste;Grande;0;A
1108;0;0;-6.1;4;0.933;0.9;7.0;0;2;Centro-Oeste;Micro;0;B
1109;0;1;-14.3;3;0.639;6.7;5.0;0;3;Sudeste;Medio;0;A
1110;0;0;8.4;5;0.891;4.5;;0;3;Sul;Medio;0;B
1111;1;1;-45.6;2;0.394;6.8;5.0;0;5;Sudeste;Grande;0;A
1112;0;0;40.7;1;1.09;3.9;6.0;0;1;Sul;Medio;0;C
1113;0;1;-30.6;2;0.633;0.3;5.0;1;3;Nordeste;Medio;0;A
1114;0;1;4.1;2;0.886;0.7;3.0;0;2;Norte;Micro;0;A
1115;0;0;-5.5;7;1.069;2.4;7.0;1;2;Centro-Oeste;Micro;0;B
1116;0;0;9.0;5;0.967;18.0;6.0;1;1;Nordeste;Grande;0;B
1117;0;1;-11.7;0;;1.7;8.0;0;4;Norte;Micro;0;A
1118;1;1;-58.0;1;0.489;1.6;7.0;0;5;Sul;Micro;0;A
1119;1;1;-29.7;1;0.808;7.8;5.0;0;5;Nordeste;Medio;0;A
1120;0;0;13.9;4;1.032;20.0;8.0;1;0;Sudeste;Micro;0;B
1121;0;0;9.8;8;0.913;3.2;3.0;0;0;Norte;Grande;0;B
1122;0;0;9.3;7;0.614;16.6;6.0;0;1;Nordeste;Medio;0;B
1123;0;0;26.9;4;1.005;2.5;4.0;0;0;Sudeste;Medio;1;B
1124;0;0;-7.6;4;1.021;0.2;5.0;0;3;Sul;Grande;0;B
1125;0;1;-16.1;2;1.022;1.7;4.0;0;2;Sudeste;Micro;1;A
1126;0;0;-18.6;6;1.058;14.5;;0;1;Sudeste;Micro;0;C
1127;0;0;-1.6;2;1.312;0.2;4.0;0;0;Norte;Medio;0;C
1128;0;1;7.1;1;0.642;1.1;;0;6;Nordeste;Micro;0;A
1129;0;1;-17.2;0;0.722;4.4;5.0;1;1;Sul;Medio;0;A
1130;1;1;-27.0;1;0.558;1.5;2.0;1;5;Sudeste;Grande;0;A
1131;1;1;-33.8;1;0.722;1.9;3.0;1;4;Sudeste;Micro;1;A
1132;0;0;-19.2;3;1.232;9.8;6.0;1;1;Sudeste;Micro;0;B
1133;0;0;27.5;2;1.238;4.5;7.0;0;1;Sul;Grande;0;B
1134;0;0;50.7;10;1.099;11.6;9.0;1;0;Sudeste;Micro;0;C
1135;0;0;-0.2;4;0.754;5.8;5.0;0;1;Nordeste;Medio;0;B
1136;0;0;-28.0;4;0.741;17.7;6.0;1;0;Sudeste;Micro;0;B
1137;0;0;39.0;7;0.995;3.6;8.0;0;1;Sudeste;Grande;0;B
1138;1;1;-35.8;1;0.631;0.7;4.0;1;2;Centro-Oeste;Medio;0;A
1139;0;1;-10.2;0;0.926;5.1;;1;1;Sudeste;Medio;0;A
1140;0;0;18.6;5;1.154;3.3;7.0;0;1;Nordeste;Medio;0;B
1141;0;1;4.6;1;0.856;1.0;4.0;1;1;Nordeste;Micro;0;A
1142;1;1;-22.5;2;0.654;2.3;5.0;1;0;Sudeste;Micro;0;A
1143;0;0;17.3;6;1.082;8.1;7.0;0;1;Sudeste;Grande;0;C
1144;0;0;1.5;5;1.123;7.7;7.0;1;3;Sudeste;Micro;1;B
1145;0;1;-57.8;3;0.704;1.3;3.0;1;5;Sudeste;Medio;0;A
1146;0;0;-0.3;3;0.997;5.3;8.0;1;4;Sul;Grande;0;B
1147;0;0;15.5;3;1.117;1.1;7.0;1;4;Centro-Oeste;Medio;0;C
1148;0;1;-38.0;2;0.539;2.3;5.0;1;1;Sudeste;Medio;0;A
1149;0;1;-16.2;2;0.653;2.1;6.0;1;1;Sul;Medio;0;A
1150;0;0;13.4;2;0.905;20.0;7.0;0;0;Sudeste;Grande;0;C
1151;0;1;8.8;1;0.997;0.9;4.0;0;1;Nordeste;Micro;0;A
1152;0;1;-36.5;1;0.663;0.3;7.0;0;3;Sudeste;Micro;1;A
1153;0;0;12.9;4;1.056;0.4;6.0;1;1;Sul;Micro;0;B
1154;0;0;-13.8;4;1.192;2.5;8.0;0;0;Sudeste;Medio;0;B
1155;1;1;-61.7;0;0.613;0.7;3.0;1;3;Nordeste;Medio;1;A
1156;0;1;-27.5;0;0.973;1.3;4.0;0;2;Sudeste;Medio;0;A
1157;1;1;-28.9;1;0.992;1.7;4.0;0;3;Centro-Oeste;Micro;0;A
1158;0;0;14.9;5;0.583;11.4;7.0;1;2;Norte;Medio;0;C
1159;0;1;5.2;0;0.858;2.7;5.0;1;4;Sudeste;Micro;1;A
1160;0;0;10.1;4;1.278;0.5;5.0;0;1;Centro-Oeste;Medio;0;B
1161;0;0;-5.0;6;0.965;0.3;7.0;1;0;Sudeste;Medio;0;C
1162;0;1;-34.4;2;0.899;0.2;5.0;0;5;Centro-Oeste;Micro;0;A
1163;0;0;31.3;3;;6.6;3.0;0;2;Centro-Oeste;Micro;0;C
1164;0;0;21.7;4;0.701;6.0;6.0;0;1;Sudeste;Medio;0;C
1165;0;0;-9.7;8;0.957;2.1;7.0;0;0;Sul;Medio;0;C
1166;0;1;-45.3;3;0.565;0.4;5.0;0;4;Norte;Micro;0;A
1167;0;0;-9.7;7;1.128;15.9;7.0;0;0;Sudeste;Grande;0;B
1168;0;0;27.8;8;1.121;0.3;9.0;0;0;Sul;Medio;0;B
1169;0;0;-10.9;5;1.438;7.4;7.0;0;0;Sul;Grande;0;C
1170;0;1;-8.8;1;;1.3;5.0;1;5;Sudeste;Micro;0;A
1171;0;0;41.9;5;0.918;0.2;6.0;0;1;Centro-Oeste;Medio;0;B
1172;0;1;-33.9;1;0.79;7.1;3.0;1;3;Sul;Grande;1;A
1173;0;1;-25.5;1;0.828;1.9;5.0;0;1;Sudeste;Medio;0;A
1174;0;0;7.4;4;1.166;6.4;8.0;0;3;Sudeste;Medio;0;B
1175;0;0;-24.1;3;0.59;6.1;6.0;1;2;Centro-Oeste;Micro;0;C
1176;0;0;-6.2;4;0.95;3.8;7.0;1;3;Sul;Micro;0;B
1177;0;0;11.6;6;1.279;7.5;6.0;0;0;Centro-Oeste;Micro;0;B
1178;0;0;-11.4;6;1.137;4.3;7.0;0;0;Sudeste;Micro;0;C
1179;0;0;50.7;2;1.059;1.7;7.0;0;2;Nordeste;Micro;1;B
1180;0;0;-1.8;0;0.936;6.6;5.0;0;0;Sul;Micro;0;B
1181;0;1;-21.6;3;0.751;1.6;5.0;0;3;Sudeste;Grande;0;A
1182;0;0;-3.5;6;1.059;0.2;6.0;1;1;Sul;Micro;0;B
1183;0;0;3.1;3;0.85;11.6;7.0;0;1;Nordeste;Medio;1;B
1184;0;0;-6.4;4;1.109;3.9;9.0;1;1;Nordeste;Grande;0;C
1185;0;0;-33.5;4;1.065;10.1;7.0;1;3;Sudeste;Medio;0;B
1186;0;0;0.8;2;0.958;10.7;8.0;1;1;Centro-Oeste;Micro;0;B
1187;0;1;18.1;2;0.687;10.1;2.0;1;4;Norte;Medio;0;A
1188;0;1;14.6;4;0.506;0.5;4.0;0;4;Sudeste;Medio;0;A
1189;0;0;-13.1;6;1.294;2.7;7.0;0;3;Sudeste;Medio;0;B
1190;1;1;-49.9;1;0.889;0.2;7.0;0;4;Sudeste;Medio;1;A
1191;1;1;-59.1;3;0.843;3.3;3.0;1;1;Sul;Grande;0;A
1192;0;0;-11.5;3;1.168;7.8;5.0;1;3;Nordeste;Medio;0;B
1193;0;1;-29.1;1;0.172;4.3;3.0;1;1;Nordeste;Micro;1;A
1194;1;1;-10.0;2;1.153;2.0;3.0;0;4;Centro-Oeste;Medio;0;A
1195;0;0;-0.3;7;0.468;20.0;5.0;1;2;Sudeste;Micro;0;B
1196;0;0;25.6;4;1.246;4.5;5.0;0;1;Sudeste;Grande;0;B
1197;0;0;19.9;2;1.071;7.7;;0;0;Centro-Oeste;Micro;0;C
1198;0;0;14.9;4;0.816;7.3;5.0;1;0;Nordeste;Micro;0;B
1199;0;0;5.6;2;1.073;2.2;7.0;0;0;Nordeste;Medio;0;B
1200;0;0;27.8;8;1.157;2.3;8.0;0;2;Norte;Medio;1;C
1201;0;0;20.7;3;0.939;6.4;6.0;1;1;Centro-Oeste;Micro;1;C
1202;1;1;-47.2;2;1.044;0.7;0.0;0;5;Sul;Medio;0;A
1203;0;1;-7.4;1;0.448;0.2;1.0;1;1;Sul;Grande;0;A
1204;0;0;-3.5;2;0.816;6.2;6.0;0;0;Nordeste;Micro;0;B
1205;0;0;26.4;5;0.772;7.5;8.0;1;2;Centro-Oeste;Grande;0;B
1206;0;0;21.1;4;0.735;1.6;6.0;1;1;Sul;Micro;0;C
1207;0;0;42.4;6;1.087;0.8;6.0;0;2;Sul;Medio;0;B
1208;0;0;-32.0;2;1.403;1.7;6.0;0;1;Centro-Oeste;Grande;0;B
1209;0;0;14.1;5;1.237;3.5;7.0;0;0;Sul;Micro;0;C
1210;0;0;-5.0;1;0.983;2.1;6.0;1;0;Sul;Micro;0;B
1211;0;1;24.6;1;1.086;1.2;5.0;1;3;Sudeste;Micro;0;A
1212;0;0;-52.7;2;1.277;0.3;4.0;0;0;Centro-Oeste;Medio;0;C
1213;1;1;-9.3;0;0.632;2.8;6.0;1;2;Centro-Oeste;Medio;0;A
1214;0;0;19.1;4;0.985;2.3;8.0;0;1;Sudeste;Medio;0;B
1215;0;0;-34.8;5;1.114;3.8;8.0;1;0;Centro-Oeste;Micro;0;C
1216;0;0;18.4;9;0.878;2.7;6.0;0;1;Sudeste;Micro;0;B
1217;0;0;-32.3;4;0.832;1.7;8.0;0;0;Sudeste;Micro;0;B
1218;0;0;-6.5;5;1.212;11.7;6.0;0;1;Centro-Oeste;Micro;0;B
1219;0;1;-9.8;2;0.993;3.8;1.0;1;1;Centro-Oeste;Medio;0;A
1220;0;1;-37.5;1;0.556;1.7;6.0;0;0;Norte;Grande;0;A
1221;0;0;9.5;8;1.13;12.9;8.0;0;2;Centro-Oeste;Medio;0;B
1222;0;0;7.9;2;1.126;3.9;6.0;1;0;Sudeste;Micro;0;B
1223;1;0;18.7;1;0.807;10.5;5.0;0;2;Sul;Grande;0;B
1224;0;1;-39.4;4;0.851;5.5;6.0;1;2;Sudeste;Medio;0;A
1225;0;0;26.5;3;1.164;3.4;6.0;0;2;Sudeste;Grande;0;B
1226;0;0;-49.8;1;1.174;3.1;7.0;1;0;Sudeste;Medio;0;C
1227;0;0;38.4;6;0.985;0.2;5.0;0;0;Nordeste;Micro;0;B
1228;0;0;2.9;4;1.113;2.9;5.0;1;2;Sudeste;Micro;0;B
1229;0;0;4.9;2;;2.3;6.0;0;0;Nordeste;Medio;0;B
1230;0;0;14.2;4;1.065;5.5;8.0;0;2;Centro-Oeste;Micro;0;B
1231;0;0;11.8;8;1.241;13.9;4.0;0;1;Norte;Micro;0;B
1232;0;0;7.9;5;0.835;0.4;6.0;1;0;Sudeste;Medio;0;C
1233;0;1;6.9;0;0.589;0.5;7.0;1;0;Sudeste;Medio;0;A
1234;0;0;-22.5;4;0.811;2.9;7.0;1;2;Sudeste;Medio;0;C
1235;1;1;-37.1;1;0.993;2.3;2.0;0;1;Sul;Micro;0;A
1236;1;1;-9.3;1;0.772;0.5;;1;1;Centro-Oeste;Micro;0;A
1237;0;0;0.7;4;;2.9;7.0;0;3;Sudeste;Medio;1;C
1238;0;1;7.8;1;1.054;1.3;2.0;1;3;Sul;Grande;0;A
1239;0;0;52.8;4;0.994;6.2;5.0;0;1;Centro-Oeste;Medio;0;B
1240;0;0;8.1;9;0.566;10.8;5.0;0;1;Sul;Grande;0;C
1241;0;0;-26.4;2;0.903;3.6;8.0;1;4;Nordeste;Medio;0;C
1242;0;0;-9.6;1;1.066;4.4;6.0;1;0;Nordeste;Medio;0;C
1243;1;1;-58.9;2;0.856;3.5;1.0;1;5;Nordeste;Micro;0;A
1244;0;0;20.4;0;0.896;1.2;7.0;1;1;Sudeste;Medio;0;B
1245;0;1;-36.9;0;0.681;3.9;6.0;1;5;Sul;Medio;0;A
1246;0;0;4.8;6;0.936;2.8;6.0;0;1;Nordeste;Medio;0;B
1247;0;0;2.2;5;1.183;13.2;6.0;0;1;Sudeste;Medio;0;C
1248;0;1;4.6;4;1.068;2.4;1.0;1;3;Nordeste;Medio;0;A
1249;0;0;9.1;6;0.882;1.1;4.0;0;1;Nordeste;Micro;0;B
1250;0;0;2.6;2;1.353;1.5;5.0;0;3;Norte;Medio;0;B
1251;0;0;-10.4;2;1.083;2.4;6.0;1;1;Sudeste;Micro;0;B
1252;0;0;20.1;5;;4.9;4.0;1;2;Sudeste;Medio;0;C
1253;1;1;-40.0;2;0.708;1.2;6.0;1;3;Norte;Micro;0;A
1254;0;0;-17.1;9;0.829;2.5;8.0;1;1;Sudeste;Micro;0;B
1255;0;0;-3.9;4;0.854;4.2;7.0;1;1;Sul;Micro;0;C
1256;0;0;49.7;4;0.821;1.4;6.0;0;0;Sudeste;Medio;0;B
1257;0;1;-20.0;2;0.529;2.8;6.0;1;4;Nordeste;Micro;0;A
1258;0;0;7.0;4;1.126;0.2;4.0;1;2;Centro-Oeste;Micro;0;B
1259;1;1;-11.6;0;1.231;0.6;;1;2;Sudeste;Medio;0;A
1260;0;1;-13.3;4;0.604;10.4;5.0;0;3;Sul;Micro;0;A
1261;0;0;3.6;6;0.978;2.0;8.0;0;1;Centro-Oeste;Grande;1;C
1262;0;0;-11.4;5;1.256;7.4;7.0;0;1;Nordeste;Grande;0;B
1263;0;0;-0.8;4;;6.3;4.0;0;2;Sul;Medio;0;C
1264;0;0;3.9;2;0.732;4.7;7.0;1;1;Sudeste;Micro;0;C
1265;0;0;-20.3;5;0.614;9.6;7.0;0;1;Nordeste;Medio;0;B
1266;0;1;-22.3;1;0.782;1.9;7.0;1;2;Centro-Oeste;Micro;0;A
1267;0;0;11.9;1;0.9;10.8;9.0;0;1;Centro-Oeste;Medio;0;B
1268;0;1;-28.7;1;0.479;2.0;8.0;1;2;Centro-Oeste;Micro;0;A
1269;0;0;32.8;7;0.891;2.6;;0;2;Sudeste;Grande;0;C
1270;0;1;-12.5;4;0.959;1.2;3.0;1;2;Sudeste;Micro;0;A
1271;1;1;-33.2;1;0.674;1.7;1.0;1;3;Norte;Medio;0;A
1272;0;0;-0.3;5;1.22;18.5;8.0;0;2;Norte;Medio;0;B
1273;0;1;6.6;1;0.862;0.3;3.0;1;1;Nordeste;Medio;0;A
1274;0;1;-30.3;2;0.798;3.9;5.0;1;0;Nordeste;Micro;0;A
1275;0;0;-8.0;3;1.031;1.9;5.0;0;2;Sudeste;Grande;0;B
1276;0;1;-34.9;4;0.911;0.2;3.0;1;3;Sudeste;Medio;0;A
1277;0;1;-16.5;1;0.827;0.5;0.0;0;2;Norte;Medio;0;A
1278;0;1;-13.6;2;0.805;3.6;7.0;1;5;Centro-Oeste;Micro;1;A
1279;0;0;21.6;5;0.606;1.7;5.0;0;1;Centro-Oeste;Medio;0;B
1280;0;0;-6.5;6;0.964;10.1;7.0;0;1;Norte;Micro;0;B
1281;0;0;38.4;2;0.692;2.1;5.0;0;1;Nordeste;Micro;0;B
1282;0;0;18.2;6;0.795;0.7;6.0;0;3;Sudeste;Micro;0;B
1283;0;1;-26.3;2;0.984;3.2;4.0;1;4;Sudeste;Grande;0;A
1284;0;0;24.5;5;0.998;20.0;5.0;1;1;Sul;Micro;0;C
1285;1;1;20.1;2;1.125;3.9;2.0;0;1;Sudeste;Micro;0;A
1286;0;0;17.7;2;1.191;1.6;7.0;0;1;Sul;Medio;0;B
1287;0;0;43.2;6;0.881;17.9;6.0;0;1;Sudeste;Medio;0;C
1288;0;0;-12.2;8;0.941;1.0;8.0;1;1;Sudeste;Micro;0;C
1289;1;1;-56.6;1;0.903;7.7;6.0;1;4;Sudeste;Medio;0;A
1290;0;1;-7.3;4;0.881;1.2;7.0;1;3;Sudeste;Micro;0;A
1291;0;0;30.7;7;1.243;13.5;9.0;1;0;Sul;Micro;0;B
1292;0;1;-44.5;3;0.281;0.5;6.0;1;4;Sul;Micro;0;A
1293;0;0;32.9;4;0.685;8.4;7.0;1;1;Norte;Grande;0;C
1294;0;0;-0.7;4;0.898;1.9;6.0;0;0;Sudeste;Micro;0;B
1295;0;0;20.2;5;1.178;2.6;5.0;0;1;Sul;Micro;0;B
1296;0;1;-12.7;2;0.936;0.9;7.0;0;2;Sudeste;Micro;0;A
1297;0;0;17.3;3;0.407;11.1;4.0;0;1;Norte;Grande;0;B
1298;0;0;19.3;3;0.838;12.3;5.0;0;4;Sul;Micro;0;B
1299;0;0;6.3;6;1.154;2.7;7.0;0;1;Centro-Oeste;Micro;0;C
1300;0;1;-26.6;3;0.537;2.6;7.0;1;2;Sul;Micro;0;A
1301;0;1;-11.1;1;0.824;13.0;;1;2;Sul;Micro;0;A
1302;0;1;-23.5;2;0.865;0.2;8.0;1;6;Sudeste;Medio;0;A
1303;1;1;-31.9;0;0.655;1.9;6.0;0;2;Sudeste;Medio;0;A
1304;0;0;14.4;2;1.052;2.4;7.0;1;0;Centro-Oeste;Micro;0;B
1305;0;0;-3.9;6;1.006;2.2;8.0;1;0;Centro-Oeste;Micro;0;C
1306;0;0;4.1;5;1.148;0.2;7.0;1;3;Nordeste;Micro;1;B
1307;0;0;-2.6;4;0.987;8.2;7.0;0;2;Sudeste;Micro;0;C
1308;0;1;13.2;3;0.366;1.6;6.0;1;2;Sudeste;Micro;1;A
1309;0;1;-15.9;2;0.892;0.8;6.0;1;1;Norte;Medio;0;A
1310;1;1;-49.7;2;;0.2;9.0;1;3;Sudeste;Grande;0;A
1311;1;1;6.9;3;0.891;1.3;5.0;1;2;Sudeste;Grande;0;A
1312;0;0;-28.3;3;0.854;1.6;7.0;0;2;Sul;Grande;0;C
1313;0;1;24.8;0;0.711;2.0;3.0;0;4;Sul;Medio;0;A
1314;0;0;8.8;5;0.929;4.5;5.0;0;0;Nordeste;Medio;0;B
1315;0;0;-4.5;2;1.239;5.7;9.0;0;1;Norte;Micro;0;B
1316;0;0;0.7;1;1.188;5.7;9.0;0;0;Centro-Oeste;Medio;0;C
1317;1;1;-49.8;2;1.102;6.7;5.0;1;1;Sudeste;Medio;0;A
1318;1;1;-20.1;3;0.745;5.6;4.0;1;1;Sul;Medio;0;A
1319;1;1;-26.9;0;0.495;0.5;4.0;1;3;Sul;Medio;0;A
1320;0;0;6.7;3;0.811;5.5;7.0;0;0;Sudeste;Micro;0;B
