id_cliente,recencia_dias,freq_compras_ano,valor_total_ano,var_compras_ano_ant,ticket_medio,num_produtos_distintos,nps_score,canal_digital,segmento_A,segmento,porte,regiao
1131,90,8,6665.42,-58.5,2377.73,1,3,1,1,A,Micro,Sudeste
1132,21,17,61176.79,17.3,2468.85,1,6,1,0,B,Micro,Sudeste
1133,24,17,18716.93,18.9,1176.73,7,7,0,0,B,Grande,Sul
1134,21,15,27120.75,21.5,2615.58,6,9,1,0,C,Micro,Sudeste
1135,32,11,39522.76,23.1,1642.79,8,5,0,0,B,Medio,Nordeste
1136,29,13,14030.73,13.1,2219.75,8,6,1,0,B,Micro,Sudeste
1137,17,19,80982.72,17.2,2012.42,4,8,0,0,B,Grande,Sudeste
1138,76,2,2194.75,-23.6,527.86,1,4,1,1,A,Medio,Centro-Oeste
1139,102,4,5085.35,-41.4,1443.85,1,5,1,1,A,Medio,Sudeste
1140,25,16,132381.77,19.6,1386.3,5,7,0,0,B,Medio,Nordeste
1141,99,6,5113.27,-4.3,711.66,1,4,1,1,A,Micro,Nordeste
1142,95,6,6311.13,-7.2,720.04,2,5,1,1,A,Micro,Sudeste
1143,28,19,35317.12,28.7,1241.16,6,7,0,0,C,Grande,Sudeste
1144,23,15,31772.19,9.1,1243.5,6,7,1,0,B,Micro,Sudeste
1145,94,4,8580.94,-52.3,3175.3,1,3,1,1,A,Medio,Sudeste
1146,33,11,40487.23,22.6,3363.19,7,8,1,0,B,Grande,Sul
1147,18,23,65647.57,-15.2,2212.94,5,7,1,0,C,Medio,Centro-Oeste
1148,80,9,4326.74,-67.2,1000.41,1,5,1,1,A,Medio,Sudeste
1149,86,2,3774.59,10.7,627.73,3,6,1,1,A,Medio,Sul
1150,22,12,40791.24,26.2,2624.95,5,7,0,0,C,Grande,Sudeste
1151,78,8,3804.7,-27.5,1122.95,1,4,0,1,A,Micro,Nordeste
1152,101,3,6514.77,-10.2,906.5,1,7,0,1,A,Micro,Sudeste
1153,24,11,19797.49,-4.4,4431.63,3,6,1,0,B,Micro,Sul
1154,20,20,41428.61,-6.6,1587.25,6,8,0,0,B,Medio,Sudeste
1155,102,2,2344.07,-19.1,1342.21,3,3,1,1,A,Medio,Nordeste
1156,67,8,15741.94,-33.6,1097.36,2,4,0,1,A,Medio,Sudeste
1157,98,3,4049.22,-37.6,1844.96,2,4,0,1,A,Micro,Centro-Oeste
1158,27,14,56704.37,18.7,3364.38,6,7,1,0,C,Medio,Norte
1159,97,2,3503.87,-27.8,374.31,1,5,1,1,A,Micro,Sudeste
1160,27,19,42412.96,3.6,2803.1,3,5,0,0,B,Medio,Centro-Oeste
1161,14,10,27280.57,-1.3,1820.93,6,7,1,0,C,Medio,Sudeste
1162,107,1,894.12,-37.3,646.84,1,5,0,1,A,Micro,Centro-Oeste
1163,24,14,57997.55,29.0,1349.63,6,3,0,0,C,Micro,Centro-Oeste
1164,33,14,52746.78,20.5,877.95,5,6,0,0,C,Medio,Sudeste
1165,22,17,38654.12,6.9,1522.58,3,7,0,0,C,Medio,Sul
1166,113,4,6350.05,-55.6,780.33,2,5,0,1,A,Micro,Norte
1167,28,16,31580.79,7.8,2603.61,7,7,0,0,B,Grande,Sudeste
1168,31,12,19342.31,5.8,2644.19,8,9,0,0,B,Medio,Sul
1169,18,16,52297.94,20.7,1213.2,10,7,0,0,C,Grande,Sul
1170,102,10,7789.19,23.9,411.31,2,5,1,1,A,Micro,Sudeste
1171,32,20,171619.42,23.6,2823.69,3,6,0,0,B,Medio,Centro-Oeste
1172,91,8,5757.14,-5.8,973.57,1,3,1,1,A,Grande,Sul
1173,98,2,2308.22,-51.9,1101.29,4,5,0,1,A,Medio,Sudeste
1174,25,18,42370.36,-2.7,3313.12,5,8,0,0,B,Medio,Sudeste
1175,23,18,45663.72,13.2,1713.68,4,6,1,0,C,Micro,Centro-Oeste
1176,24,13,31730.64,42.5,1797.33,7,7,1,0,B,Micro,Sul
1177,30,11,15828.45,33.7,4732.87,6,6,0,0,B,Micro,Centro-Oeste
1178,24,7,12659.92,33.0,3027.53,7,7,0,0,C,Micro,Sudeste
1179,27,12,32137.63,10.8,1486.92,14,7,0,0,B,Micro,Nordeste
1180,28,17,32105.48,-30.6,3113.77,8,5,0,0,B,Micro,Sul
1181,85,8,9645.45,-9.6,520.14,2,5,0,1,A,Grande,Sudeste
1182,21,20,27670.96,28.8,3467.06,7,6,1,0,B,Micro,Sul
1183,28,13,21007.22,-14.2,2561.78,5,7,0,0,B,Medio,Nordeste
1184,37,22,60284.61,17.3,1596.12,3,9,1,0,C,Grande,Nordeste
1185,20,18,36408.66,-1.5,1002.98,6,7,1,0,B,Medio,Sudeste
1186,27,16,65143.67,20.3,4823.96,6,8,1,0,B,Micro,Centro-Oeste
1187,91,1,1355.6,-17.4,776.1,1,2,1,1,A,Medio,Norte
1188,96,2,1185.51,-2.2,2325.6,1,4,0,1,A,Medio,Sudeste
1189,23,15,30959.37,1.0,2614.39,6,7,0,0,B,Medio,Sudeste
1190,98,9,6313.74,-42.9,1905.88,1,7,0,1,A,Medio,Sudeste
1191,98,5,6112.4,16.7,1863.12,1,3,1,1,A,Grande,Sul
1192,21,17,50519.31,-1.3,2233.62,8,5,1,0,B,Medio,Nordeste
1193,98,3,4905.51,-12.7,672.46,1,3,1,1,A,Micro,Nordeste
1194,92,6,5942.49,-39.5,415.49,1,3,0,1,A,Medio,Centro-Oeste
1195,26,22,109374.5,16.3,3189.36,7,5,1,0,B,Micro,Sudeste
1196,27,22,50011.24,1.0,1972.42,9,5,0,0,B,Grande,Sudeste
1197,22,19,43654.47,24.5,1591.14,12,5,0,0,C,Micro,Centro-Oeste
1198,32,8,13946.15,11.0,1223.6,4,5,1,0,B,Micro,Nordeste
1199,22,20,46432.34,-6.7,2104.12,7,7,0,0,B,Medio,Nordeste
1200,22,13,40798.95,21.0,1324.4,8,8,0,0,C,Medio,Norte
1201,22,19,25649.79,53.3,1432.85,7,6,1,0,C,Micro,Centro-Oeste
1202,81,6,14735.62,-6.2,824.82,1,0,0,1,A,Medio,Sul
1203,116,6,9896.75,-45.2,812.67,1,1,1,1,A,Grande,Sul
1204,29,15,36525.36,-8.1,3499.61,7,6,0,0,B,Micro,Nordeste
1205,38,11,21960.85,6.9,2846.43,10,8,1,0,B,Grande,Centro-Oeste
1206,28,14,37129.48,-14.9,4238.28,6,6,1,0,C,Micro,Sul
1207,29,15,43779.87,-11.6,1017.4,2,6,0,0,B,Medio,Sul
1208,17,17,25260.13,22.7,1757.63,4,6,0,0,B,Grande,Centro-Oeste
1209,20,13,18621.87,6.4,3145.77,7,7,0,0,C,Micro,Sul
1210,20,15,73865.86,19.0,2544.89,3,6,1,0,B,Micro,Sul
1211,90,7,3380.47,-29.0,638.57,1,5,1,1,A,Micro,Sudeste
1212,23,23,56707.94,33.6,2215.57,8,4,0,0,C,Medio,Centro-Oeste
1213,85,1,1032.91,-41.4,1513.82,1,6,1,1,A,Medio,Centro-Oeste
1214,33,13,59006.75,1.3,1882.58,5,8,0,0,B,Medio,Sudeste
1215,34,22,26382.21,-0.0,1266.15,2,8,1,0,C,Micro,Centro-Oeste
1216,18,10,19234.62,45.7,2626.68,8,6,0,0,B,Micro,Sudeste
1217,26,24,69992.08,10.4,2961.67,5,8,0,0,B,Micro,Sudeste
1218,25,16,60011.39,15.2,3521.42,5,6,0,0,B,Micro,Centro-Oeste
1219,92,2,2344.39,3.6,1066.55,2,1,1,1,A,Medio,Centro-Oeste
1220,78,2,5573.08,-28.2,685.78,2,6,0,1,A,Grande,Norte
1221,23,24,69888.45,29.2,1299.87,6,8,0,0,B,Medio,Centro-Oeste
1222,20,15,34257.36,1.6,2866.41,4,6,1,0,B,Micro,Sudeste
1223,19,19,91121.77,7.5,5511.53,3,5,0,0,B,Grande,Sul
1224,90,2,4600.79,6.4,293.56,2,6,1,1,A,Medio,Sudeste
1225,37,15,27902.34,18.8,1959.39,6,6,0,0,B,Grande,Sudeste
1226,22,10,39014.66,-14.8,3242.81,4,7,1,0,C,Medio,Sudeste
1227,26,16,81165.85,18.4,4845.94,4,5,0,0,B,Micro,Nordeste
1228,23,18,91019.29,33.8,2510.08,7,5,1,0,B,Micro,Sudeste
1229,21,21,47504.68,-11.7,3249.57,5,6,0,0,B,Medio,Nordeste
1230,34,15,42544.22,30.5,4220.27,4,8,0,0,B,Micro,Centro-Oeste
1231,29,14,89177.62,41.3,4412.34,6,4,0,0,B,Micro,Norte
1232,26,15,44427.56,16.6,2156.0,2,6,1,0,C,Medio,Sudeste
1233,89,4,2790.89,-46.5,772.44,1,7,1,1,A,Medio,Sudeste
1234,21,13,14443.52,16.2,4676.81,4,7,1,0,C,Medio,Sudeste
1235,97,9,11074.05,-16.3,1159.49,3,2,0,1,A,Micro,Sul
1236,76,7,12604.79,9.8,585.71,2,4,1,1,A,Micro,Centro-Oeste
1237,21,13,23858.4,14.8,1600.8,7,7,0,0,C,Medio,Sudeste
1238,85,6,5531.42,-50.7,649.18,1,2,1,1,A,Grande,Sul
1239,29,21,35436.38,-7.9,5530.41,12,5,0,0,B,Medio,Centro-Oeste
1240,18,11,19252.79,21.8,1757.2,4,5,0,0,C,Grande,Sul
1241,21,22,56482.97,4.0,2646.6,6,8,1,0,C,Medio,Nordeste
1242,22,16,47845.87,16.6,1506.39,6,6,1,0,C,Medio,Nordeste
1243,87,3,677.63,-16.5,238.57,1,1,1,1,A,Micro,Nordeste
1244,24,14,23082.49,14.2,3180.51,7,7,1,0,B,Medio,Sudeste
1245,83,3,3900.21,5.8,1700.01,1,6,1,1,A,Medio,Sul
1246,18,20,61910.94,-13.2,4367.9,8,6,0,0,B,Medio,Nordeste
1247,16,12,46375.69,4.6,2043.4,9,6,0,0,C,Medio,Sudeste
1248,92,1,874.69,-26.1,831.05,3,1,1,1,A,Medio,Nordeste
1249,35,13,74422.29,11.3,3308.48,5,4,0,0,B,Micro,Nordeste
1250,19,19,42657.35,18.6,3001.19,1,5,0,0,B,Medio,Norte
1251,20,14,27761.76,22.0,3009.61,6,6,1,0,B,Micro,Sudeste
1252,18,20,51670.18,-0.5,7737.17,6,4,1,0,C,Medio,Sudeste
1253,80,4,3339.47,-15.0,512.49,2,6,1,1,A,Micro,Norte
1254,23,11,40290.51,10.2,2395.13,6,8,1,0,B,Micro,Sudeste
1255,19,11,15289.79,9.8,1726.21,8,7,1,0,C,Micro,Sul
1256,24,16,74296.34,26.5,2379.12,10,6,0,0,B,Medio,Sudeste
1257,90,5,6376.64,-16.1,804.93,1,6,1,1,A,Micro,Nordeste
1258,23,12,42517.35,-1.0,1261.02,8,4,1,0,B,Micro,Centro-Oeste
1259,99,7,11241.08,-31.4,1572.24,1,4,1,1,A,Medio,Sudeste
1260,80,2,2270.63,-25.7,740.56,3,5,0,1,A,Micro,Sul
1261,35,18,49116.46,21.6,3347.4,5,8,0,0,C,Grande,Centro-Oeste
1262,29,19,91477.4,29.5,7041.55,4,7,0,0,B,Grande,Nordeste
1263,23,14,42976.57,16.8,2417.15,4,4,0,0,C,Medio,Sul
1264,28,10,26836.13,14.7,1878.99,7,7,1,0,C,Micro,Sudeste
1265,21,5,9994.51,45.1,4420.29,7,7,0,0,B,Medio,Nordeste
1266,99,12,16854.04,8.2,494.92,2,7,1,1,A,Micro,Centro-Oeste
1267,23,11,26517.47,14.4,3027.21,5,9,0,0,B,Medio,Centro-Oeste
1268,100,7,4424.71,-12.1,1024.29,1,8,1,1,A,Micro,Centro-Oeste
1269,28,16,51389.24,29.9,1724.16,11,8,0,0,C,Grande,Sudeste
1270,94,3,2310.4,-45.8,807.69,1,3,1,1,A,Micro,Sudeste
1271,82,4,1850.99,-10.5,734.65,1,1,1,1,A,Medio,Norte
1272,17,17,75409.12,8.0,924.13,6,8,0,0,B,Medio,Norte
1273,91,2,2747.82,-38.7,693.33,1,3,1,1,A,Medio,Nordeste
1274,100,6,3901.18,-24.1,974.68,1,5,1,1,A,Micro,Nordeste
1275,24,15,92326.99,22.0,1609.0,7,5,0,0,B,Grande,Sudeste
1276,68,6,14569.31,-45.2,1196.83,1,3,1,1,A,Medio,Sudeste
1277,88,9,9174.21,-7.3,990.27,3,0,0,1,A,Medio,Norte
1278,91,5,2713.61,-11.0,617.66,1,7,1,1,A,Micro,Centro-Oeste
1279,33,14,52823.29,-9.7,3185.81,8,5,0,0,B,Medio,Centro-Oeste
1280,21,19,82628.11,4.6,1754.81,9,7,0,0,B,Micro,Norte
1281,24,13,42394.09,12.4,2939.78,7,5,0,0,B,Micro,Nordeste
1282,26,12,22040.95,23.1,3826.55,5,6,0,0,B,Micro,Sudeste
1283,84,3,1879.81,1.1,739.05,1,4,1,1,A,Grande,Sudeste
1284,23,10,36325.38,-14.8,4714.67,5,5,1,0,C,Micro,Sul
1285,93,3,3951.24,-36.5,619.58,2,2,0,1,A,Micro,Sudeste
1286,22,20,35024.86,-0.8,2999.44,6,7,0,0,B,Medio,Sul
1287,24,14,23782.32,-2.2,3578.7,7,6,0,0,C,Medio,Sudeste
1288,28,14,48062.29,-22.3,917.07,3,8,1,0,C,Micro,Sudeste
1289,89,5,2775.52,1.6,743.51,2,6,1,1,A,Medio,Sudeste
1290,104,3,1905.37,-24.0,625.92,3,7,1,1,A,Micro,Sudeste
1291,27,17,31365.01,40.3,2843.46,7,9,1,0,B,Micro,Sul
1292,79,5,8938.41,8.4,1027.17,1,6,1,1,A,Micro,Sul
1293,24,18,42800.44,28.0,3681.62,3,7,1,0,C,Grande,Norte
1294,27,17,36348.69,5.2,3971.2,6,6,0,0,B,Micro,Sudeste
1295,28,11,19083.57,-5.5,3588.57,7,5,0,0,B,Micro,Sul
1296,93,4,2975.35,-22.0,798.49,4,7,0,1,A,Micro,Sudeste
1297,22,19,70800.96,1.1,2543.42,8,4,0,0,B,Grande,Norte
1298,23,15,43792.78,21.8,1760.76,11,5,0,0,B,Micro,Sul
1299,24,18,38690.52,-24.4,6875.36,9,7,0,0,C,Micro,Centro-Oeste
1300,101,7,15285.65,-59.2,1468.48,5,7,1,1,A,Micro,Sul
1301,77,2,2624.28,-56.2,545.82,1,3,1,1,A,Micro,Sul
1302,129,7,9988.07,-38.5,2334.06,1,8,1,1,A,Medio,Sudeste
1303,79,4,2654.2,21.1,1242.78,2,6,0,1,A,Medio,Sudeste
1304,24,15,45980.41,19.3,1820.68,2,7,1,0,B,Micro,Centro-Oeste
1305,24,19,28883.44,6.2,1317.19,5,8,1,0,C,Micro,Centro-Oeste
1306,34,13,24638.01,39.3,1427.52,7,7,1,0,B,Micro,Nordeste
1307,29,20,28238.07,34.2,2749.4,8,7,0,0,C,Micro,Sudeste
1308,86,7,9747.67,-10.7,3995.63,2,6,1,1,A,Micro,Sudeste
1309,97,5,6185.07,-33.6,854.07,1,6,1,1,A,Medio,Norte
1310,104,4,1867.37,-18.2,671.51,1,9,1,1,A,Grande,Sudeste
1311,91,6,5400.62,3.8,938.43,1,5,1,1,A,Grande,Sudeste
1312,27,14,36636.5,11.4,3898.1,5,7,0,0,C,Grande,Sul
1313,92,2,2758.47,-38.2,1490.45,3,3,0,1,A,Medio,Sul
1314,24,14,18830.23,-21.0,3834.57,3,5,0,0,B,Medio,Nordeste
1315,25,13,19591.59,29.7,4224.26,7,9,0,0,B,Micro,Norte
1316,32,14,20617.82,2.2,1922.22,8,9,0,0,C,Medio,Centro-Oeste
1317,79,2,2878.22,-13.0,1128.09,1,5,1,1,A,Medio,Sudeste
1318,99,2,2321.45,-31.7,1259.08,1,4,1,1,A,Medio,Sul
1319,88,9,9926.15,-41.8,677.14,1,4,1,1,A,Medio,Sul
1320,27,21,34908.67,10.4,3380.92,11,7,0,0,B,Micro,Sudeste
1321,85,4,4501.82,-16.7,503.08,2,4,1,1,A,Micro,Sudeste
1322,24,26,76849.71,5.6,4611.88,8,8,0,0,C,Grande,Centro-Oeste
1323,21,17,42108.66,21.8,2910.82,5,6,1,0,B,Micro,Centro-Oeste
1324,34,18,99358.59,-7.8,3364.33,5,7,0,0,B,Medio,Sudeste
1325,18,18,97793.29,1.7,1823.79,7,7,1,0,B,Grande,Nordeste
1326,81,5,5140.3,-25.3,756.23,1,5,0,1,A,Medio,Centro-Oeste
1327,23,10,29609.93,-5.2,2626.89,3,7,0,0,B,Medio,Sudeste
1328,15,15,40964.6,17.2,7057.92,7,8,0,0,C,Micro,Centro-Oeste
1329,21,15,37050.0,-4.1,3170.65,4,6,0,0,C,Micro,Sudeste
1330,28,15,29211.36,18.3,3303.1,9,7,1,0,C,Grande,Sudeste
1331,20,18,46912.05,21.1,1028.51,9,7,0,0,C,Medio,Sudeste
1332,95,5,5306.88,-19.2,1781.74,1,6,1,1,A,Medio,Centro-Oeste
1333,71,2,2661.85,-51.0,1636.26,1,5,1,1,A,Micro,Sul
1334,101,5,7001.07,-30.2,596.24,1,5,1,1,A,Micro,Sul
1335,96,9,17816.33,-3.8,812.15,1,5,1,1,A,Grande,Sul
1336,88,6,2882.13,-38.5,1178.03,2,6,0,1,A,Micro,Sul
